round,comp_time,comm_time,overhead,mse,f1,mode,clients
24,0.8191962242126465,0.14008307456970215,6.441000000000001,0.10917482043013853,0.8962094942006457,Ours,10
25,0.8368587493896484,0.14009380340576172,6.441000000000001,0.10675792001626071,0.8961147638971907,Ours,10
26,0.8447794914245605,0.14010930061340332,6.441000000000001,0.1042877641670844,0.8948406767501644,Ours,10
27,0.8280675411224365,0.14009976387023926,6.441000000000001,0.10221771369962131,0.8940936863543788,Ours,10
28,0.8170583248138428,0.14009332656860352,6.441000000000001,0.10017900388030444,0.8935965912500751,Ours,10
29,0.8201560974121094,0.14008426666259766,6.441000000000001,0.09833956290693845,0.8926146265248482,Ours,10
30,0.8309311866760254,0.14008116722106934,6.441000000000001,0.09697392276104759,0.8908675249669114,Ours,10
31,0.8202013969421387,0.14008116722106934,6.441000000000001,0.09529184966402895,0.8896912800144431,Ours,10
32,0.8387787342071533,0.14008212089538574,6.441000000000001,0.09375608668607824,0.8891165481499337,Ours,10
33,0.8353593349456787,0.1401042938232422,6.441000000000001,0.0922926000374205,0.8875753920386007,Ours,10
34,0.8265213966369629,0.14008593559265137,6.441000000000001,0.09086110311395981,0.8871989860583016,Ours,10
35,0.8178596496582031,0.14008712768554688,6.441000000000001,0.08978526228490998,0.8867012924266215,Ours,10
36,0.8376951217651367,0.14010095596313477,6.441000000000001,0.08876505647512044,0.8858436462420767,Ours,10
37,0.8342952728271484,0.14008450508117676,6.441000000000001,0.08762155429405324,0.8851587972467093,Ours,10
38,0.8657619953155518,0.1400928497314453,6.441000000000001,0.08656046342323809,0.8849172805216762,Ours,10
39,0.8242745399475098,0.1401076316833496,6.441000000000001,0.085697542218601,0.8842970213280165,Ours,10
40,0.8390035629272461,0.14010262489318848,6.441000000000001,0.0847057844786083,0.8830854793858058,Ours,10
41,0.8471629619598389,0.14009976387023926,6.441000000000001,0.08361615459708606,0.8806504459680845,Ours,10
42,0.8246212005615234,0.14010167121887207,6.441000000000001,0.08275987711899421,0.873244596409818,Ours,10
43,0.8203580379486084,0.14008402824401855,6.441000000000001,0.08206057964878924,0.870772429820806,Ours,10
44,0.8540642261505127,0.14009785652160645,6.441000000000001,0.0812127287773525,0.8711806404302127,Ours,10
45,0.8298959732055664,0.14011192321777344,6.441000000000001,0.08045084840234588,0.8703046616909336,Ours,10
46,0.8424263000488281,0.14008426666259766,6.441000000000001,0.07972330709590632,0.8706227464401394,Ours,10
47,0.8208937644958496,0.14008736610412598,6.441000000000001,0.07890659899396055,0.8711551397297133,Ours,10
48,0.8166038990020752,0.1400763988494873,6.441000000000001,0.078219883801306,0.8708256880733944,Ours,10
49,0.8517272472381592,0.1400907039642334,6.441000000000001,0.07750330076498144,0.8707841096896615,Ours,10
0,0.5127909183502197,6.198883056640625e-06,0,0.5391765140435275,0.7475159929222812,Vanilla,20
1,0.536055326461792,5.245208740234375e-06,0,0.45008785146124225,0.741646737273659,Vanilla,20
2,0.5186121463775635,3.814697265625e-06,0,0.39866709007936363,0.7353588122078636,Vanilla,20
3,0.5097799301147461,4.291534423828125e-06,0,0.3636928007883184,0.7348818031885651,Vanilla,20
4,0.5173587799072266,5.0067901611328125e-06,0,0.3365948270348942,0.7347808162704411,Vanilla,20
5,0.5184965133666992,5.7220458984375e-06,0,0.3141096751479542,0.7366760408807188,Vanilla,20
6,0.516589879989624,5.4836273193359375e-06,0,0.29474782768417807,0.743269951611804,Vanilla,20
7,0.5169990062713623,5.7220458984375e-06,0,0.277635341619744,0.7454261035162892,Vanilla,20
8,0.514415979385376,6.198883056640625e-06,0,0.2627534090596087,0.7451487710219923,Vanilla,20
9,0.516359806060791,5.9604644775390625e-06,0,0.24960724614998875,0.7463255307566685,Vanilla,20
10,0.5399854183197021,5.9604644775390625e-06,0,5.227159261703491,0.2802131040284139,Vanilla,20
11,0.5261304378509521,5.4836273193359375e-06,0,12.424352477578555,0.5291316081917765,Vanilla,20
12,0.5169496536254883,5.7220458984375e-06,0,21.614818012013156,0.7109995817649519,Vanilla,20
13,0.5146534442901611,4.76837158203125e-06,0,27.270082137163946,0.3812855268911237,Vanilla,20
14,0.5171098709106445,5.9604644775390625e-06,0,45.14035505406997,0.5337262084892889,Vanilla,20
15,0.5231976509094238,5.245208740234375e-06,0,71.46026678646312,0.34846581733357257,Vanilla,20
16,0.5070915222167969,5.245208740234375e-06,0,104.05485018561868,0.14481722583875814,Vanilla,20
17,0.515244722366333,4.76837158203125e-06,0,124.86775364595302,0.45486400800934423,Vanilla,20
18,0.5185384750366211,4.291534423828125e-06,0,178.93653600356157,0.41413015519163165,Vanilla,20
19,0.5138452053070068,4.291534423828125e-06,0,227.27666877297793,0.2584765661688739,Vanilla,20
20,0.5195691585540771,5.0067901611328125e-06,0,334.3279840805951,0.32504056246619795,Vanilla,20
21,0.5265774726867676,6.4373016357421875e-06,0,307.5020150577321,0.3071722247601645,Vanilla,20
22,0.5304732322692871,5.7220458984375e-06,0,251.30356822294348,0.6097303810814881,Vanilla,20
23,0.5289742946624756,5.0067901611328125e-06,0,320.28568312701054,0.6650331507639089,Vanilla,20
24,0.5491762161254883,5.0067901611328125e-06,0,350.09386309455425,0.6779709522787436,Vanilla,20
25,0.5237009525299072,4.5299530029296875e-06,0,400.7699270809398,0.7236696230598669,Vanilla,20
26,0.5223186016082764,5.0067901611328125e-06,0,486.68096654555376,0.4516672280229033,Vanilla,20
27,0.5192718505859375,5.245208740234375e-06,0,503.873779296875,0.3987132672578682,Vanilla,20
28,0.5156216621398926,5.0067901611328125e-06,0,491.70350916245405,0.5020669530680069,Vanilla,20
29,0.5146594047546387,4.5299530029296875e-06,0,516.249220904182,0.19566913772922356,Vanilla,20
30,0.5168688297271729,5.9604644775390625e-06,0,589.6049786735983,0.4850770744506396,Vanilla,20
31,0.535792350769043,5.245208740234375e-06,0,840.9156960880055,0.430939226519337,Vanilla,20
32,0.5294997692108154,5.7220458984375e-06,0,985.1706165986902,0.32227659960123256,Vanilla,20
33,0.5223867893218994,5.9604644775390625e-06,0,1079.66797952091,0.3612662942271881,Vanilla,20
34,0.5497138500213623,6.198883056640625e-06,0,1263.8340238683363,0.5844195675509891,Vanilla,20
35,0.5451135635375977,5.7220458984375e-06,0,1188.446066463695,0.5947677522690871,Vanilla,20
36,0.5176646709442139,5.245208740234375e-06,0,1114.515556784237,0.2592277919380723,Vanilla,20
37,0.513554573059082,6.4373016357421875e-06,0,1230.5720753389246,0.4410126582278481,Vanilla,20
38,0.5312941074371338,5.9604644775390625e-06,0,1471.9934800091912,0.46432427942520144,Vanilla,20
